기준일,확진자수,누적확진자수,사망자수,누적사망자수,누적의심신고검사자수
2020-05-28,79,11344,0,269,868666
2020-05-29,58,11402,0,269,885120
2020-05-30,39,11441,0,269,902901
2020-05-31,27,11468,1,270,910822
2020-06-01,35,11503,1,271,921391
2020-06-02,38,11541,1,272,939851
2020-06-03,49,11590,1,273,956852
2020-06-04,39,11629,0,273,973858
2020-06-05,39,11668,0,273,990960
2020-06-06,51,11719,0,273,1005305
2020-06-07,57,11776,0,273,1012769
2020-06-08,37,11813,0,273,1018214
2020-06-09,38,11851,1,274,1035997
2020-06-10,50,11901,2,276,1051972
2020-06-11,45,11946,0,276,1066888
2020-06-12,56,12002,1,277,1081486
2020-06-13,48,12050,0,277,1094704
2020-06-14,34,12084,0,277,1100327
2020-06-15,37,12121,0,277,1105719
2020-06-16,34,12155,1,278,1119767
2020-06-17,43,12198,1,279,1132823
2020-06-18,59,12257,1,280,1145712
2020-06-19,49,12306,0,280,1158063
2020-06-20,67,12373,0,280,1170901
2020-06-21,48,12421,0,280,1176463
2020-06-22,17,12438,0,280,1182066
2020-06-23,46,12484,1,281,1196012
2020-06-24,51,12535,0,281,1208597
2020-06-25,28,12563,1,282,1220478
2020-06-26,39,12602,0,282,1232315
2020-06-27,51,12653,0,282,1243780
2020-06-28,62,12715,0,282,1251695
2020-06-29,42,12757,0,282,1259954
2020-06-30,42,12799,0,282,1273765
2020-07-01,51,12850,0,282,1285231
2020-07-02,54,12904,0,282,1295962
2020-07-03,61,12965,0,282,1307759
2020-07-04,63,13028,1,283,1319521
2020-07-05,61,13089,0,283,1326055
2020-07-06,48,13137,1,284,1331796
2020-07-07,44,13181,1,285,1346194
2020-07-08,62,13243,0,285,1359734
2020-07-09,50,13293,2,287,1371771
2020-07-10,45,13338,1,288,1384890
2020-07-11,35,13373,0,288,1396941
2020-07-12,44,13417,1,289,1402144
2020-07-13,62,13479,0,289,1408312
2020-07-14,33,13512,0,289,1420616
2020-07-15,39,13551,0,289,1431316
2020-07-16,61,13612,2,291,1441348
2020-07-17,60,13672,2,293,1451017
2020-07-18,39,13711,1,294,1460204
2020-07-19,34,13745,1,295,1465299
2020-07-20,26,13771,1,296,1470193
2020-07-21,45,13816,0,296,1482390
2020-07-22,63,13879,1,297,1492071
2020-07-23,59,13938,0,297,1500854
2020-07-24,41,13979,1,298,1510327
2020-07-25,113,14092,0,298,1518634
2020-07-26,58,14150,0,298,1522926
2020-07-27,25,14175,1,299,1526974
2020-07-28,28,14203,1,300,1537704
2020-07-29,48,14251,0,300,1547307
2020-07-30,18,14269,0,300,1556215
2020-07-31,36,14305,1,301,1563796
2020-08-01,31,14336,0,301,1571830
2020-08-02,30,14366,0,301,1576246
2020-08-03,23,14389,0,301,1579757
