number,name,position,age,nation,team,value
1,Kylian Mbappé,Centre-Forward,24,France,Paris Saint-Germain,€180.00m
2,Erling Haaland,Centre-Forward,22,Norway,Manchester City,€170.00m
3,Jude Bellingham,Central Midfield,19,England,Borussia Dortmund,€120.00m
4,Vinicius Junior,Left Winger,22,Brazil,Real Madrid,€120.00m
5,Jamal Musiala,Attacking Midfield,20,Germany,Bayern Munich,€110.00m
6,Bukayo Saka,Right Winger,21,England,Arsenal FC,€110.00m
7,Phil Foden,Left Winger,22,England,Manchester City,€110.00m
8,Pedri,Central Midfield,20,Spain,FC Barcelona,€100.00m
9,Victor Osimhen,Centre-Forward,24,Nigeria,SSC Napoli,€100.00m
10,Federico Valverde,Central Midfield,24,Uruguay,Real Madrid,€100.00m
11,Gavi,Central Midfield,18,Spain,FC Barcelona,€90.00m
12,Aurélien Tchouaméni,Defensive Midfield,23,France,Real Madrid,€90.00m
13,Harry Kane,Centre-Forward,29,England,Tottenham Hotspur,€90.00m
14,Enzo Fernández,Defensive Midfield,22,Argentina,Chelsea FC,€85.00m
15,Florian Wirtz,Attacking Midfield,19,Germany,Bayer 04 Leverkusen,€85.00m
16,Khvicha Kvaratskhelia,Left Winger,22,Georgia,SSC Napoli,€85.00m
17,Rodrygo,Right Winger,22,Brazil,Real Madrid,€80.00m
18,Lautaro Martínez,Centre-Forward,25,Argentina,Inter Milan,€80.00m
19,Declan Rice,Defensive Midfield,24,England,West Ham United,€80.00m
20,Rodri,Defensive Midfield,26,Spain,Manchester City,€80.00m
21,Rafael Leão,Left Winger,23,Portugal,AC Milan,€80.00m
22,Christopher Nkunku,Second Striker,25,France,RB Leipzig,€80.00m
23,Martin Ødegaard,Attacking Midfield,24,Norway,Arsenal FC,€80.00m
24,Marcus Rashford,Left Winger,25,England,Manchester United,€80.00m
25,Bernardo Silva,Attacking Midfield,28,Portugal,Manchester City,€80.00m
