순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
18.0,현대로템,0.66%,35550.0,850.0,-2.34%,7014788.0,35600.0,36050.0,33050.0,19.62,14.06
19.0,EG,0.60%,22750.0,1150.0,-4.81%,6023699.0,25050.0,25600.0,21500.0,-80.39,-3.83
20.0,선광,0.60%,57600.0,24600.0,-29.93%,15919.0,57600.0,57600.0,57600.0,26.23,4.35
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21.0,유니온,0.59%,10660.0,860.0,+8.78%,18881236.0,9640.0,10920.0,9100.0,-16.45,-8.03
22.0,마이크로투나노,0.58%,25900.0,700.0,+2.78%,6695862.0,25200.0,30500.0,25000.0,,25.18
23.0,두산에너빌리티,0.57%,17300.0,800.0,-4.42%,5227219.0,17740.0,17980.0,17250.0,-13.87,-11.7
24.0,SK하이닉스,0.55%,87900.0,2400.0,+2.81%,2009943.0,86400.0,88700.0,86200.0,28.7,3.56
25.0,LG에너지솔루션,0.53%,563000.0,12000.0,+2.18%,122758.0,551000.0,564000.0,550000.0,170.35,5.75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
26.0,NAVER,0.49%,188800.0,2700.0,+1.45%,373815.0,185800.0,190900.0,185700.0,40.74,3.29
27.0,포스코DX,0.49%,14420.0,20.0,+0.14%,18351826.0,14960.0,15540.0,14070.0,48.07,11.84
28.0,마음AI,0.47%,31150.0,1800.0,+6.13%,6198803.0,29350.0,34000.0,27600.0,-40.51,-16.88
29.0,포스코스틸리온,0.47%,61700.0,8800.0,+16.64%,1656964.0,58900.0,65100.0,58500.0,16.3,6.84
30.0,한미반도체,0.45%,21700.0,1250.0,+6.11%,5288656.0,20200.0,22000.0,20150.0,23.23,25.04
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
